firm_name,source,intake_pending,opportunity_count,service_line_count,closed_won
ATKG,Email,FALSE,22,44,0
ATKG,Email,TRUE,23,39,0
ATKG,UI,NULL,18,28,0
LevitZacks,Email,FALSE,40,84,0
LevitZacks,Email,TRUE,45,66,0
LevitZacks,UI,NULL,9,11,2
Lucas Horsfall,Email,FALSE,75,121,0
Lucas Horsfall,Email,TRUE,71,115,0
Lucas Horsfall,UI,NULL,4,5,3
Opsahl Dawson,Email,FALSE,129,237,1
Opsahl Dawson,Email,TRUE,111,160,0
Opsahl Dawson,UI,NULL,18,21,6
TSS,Email,FALSE,27,45,0
TSS,Email,TRUE,13,15,0
TSS,UI,NULL,13,14,3
Walter Shuffain,Email,FALSE,161,341,0
Walter Shuffain,Email,TRUE,136,191,0
Walter Shuffain,UI,NULL,5,9,0
